Date,Open,High,Low,Close,Volume
08/23/2024,"344.97","349.54","343.07","348.41","2,183,912"
08/22/2024,"343.00","345.14","341.77","342.36","2,021,578"
08/21/2024,"344.58","345.60","341.85","342.97","1,433,163"
08/20/2024,"345.00","346.17","341.82","343.30","1,479,542"
08/19/2024,"343.68","346.10","343.30","344.65","2,252,755"
08/16/2024,"345.25","345.84","340.76","343.48","2,483,755"
08/15/2024,"344.50","347.64","340.79","345.64","3,232,783"
08/14/2024,"339.60","341.79","334.60","337.59","1,610,888"
08/13/2024,"337.18","339.52","333.73","338.80","1,503,929"
08/12/2024,"338.26","339.85","333.60","336.03","2,127,606"
08/09/2024,"336.00","338.50","332.48","338.26","1,668,078"
08/08/2024,"330.00","336.43","327.61","336.16","2,268,337"
08/07/2024,"333.51","335.18","324.45","325.80","3,011,727"
08/06/2024,"314.05","332.17","310.50","326.44","5,071,715"
08/05/2024,"309.00","320.58","307.05","316.80","4,681,329"
08/02/2024,"322.75","323.40","317.66","320.87","4,246,740"
08/01/2024,"346.30","349.83","328.08","331.52","3,747,881"
07/31/2024,"345.35","350.99","340.85","346.20","2,568,331"
07/30/2024,"343.66","345.72","338.62","341.72","1,970,785"
07/29/2024,"350.18","351.38","343.13","344.53","2,190,368"
07/26/2024,"348.64","352.94","346.88","350.48","1,894,930"
07/25/2024,"335.51","348.20","333.95","344.30","3,291,486"
07/24/2024,"342.95","344.82","335.45","336.04","2,835,754"
07/23/2024,"345.73","348.66","341.38","344.17","2,027,837"
07/22/2024,"348.00","348.73","341.38","347.87","2,659,572"
07/19/2024,"355.35","356.49","346.69","347.63","3,462,657"
07/18/2024,"356.50","369.23","355.75","356.03","3,876,297"
07/17/2024,"358.97","362.69","356.20","357.80","3,060,996"
07/16/2024,"346.83","362.28","345.26","360.58","4,636,980"
07/15/2024,"339.10","347.90","337.84","345.77","3,394,255"
07/12/2024,"334.95","338.23","333.43","335.59","2,451,399"
07/11/2024,"330.00","334.43","329.30","331.13","3,016,860"
07/10/2024,"326.10","328.48","321.64","328.48","2,904,464"
07/09/2024,"328.54","330.12","325.83","326.06","1,896,255"
07/08/2024,"330.36","333.26","327.14","329.06","1,913,367"
07/05/2024,"331.57","333.44","326.63","328.35","2,280,941"
07/03/2024,"328.26","331.41","328.26","330.61","1,352,181"
07/02/2024,"328.00","330.09","325.58","327.76","2,119,862"
07/01/2024,"335.11","335.29","325.37","329.08","2,950,343"
06/28/2024,"328.51","334.19","328.32","333.10","8,891,479"
06/27/2024,"326.03","329.23","324.67","327.46","1,995,103"
06/26/2024,"326.25","327.71","323.78","326.73","2,198,622"
06/25/2024,"328.01","329.47","324.37","327.40","2,995,905"
06/24/2024,"329.36","333.67","326.07","330.00","2,447,399"
06/21/2024,"330.53","330.55","326.18","327.84","8,265,206"
06/20/2024,"325.06","331.10","324.58","329.13","4,463,440"
06/18/2024,"323.05","325.60","321.00","325.14","3,275,381"
06/17/2024,"321.47","323.84","318.88","322.40","3,198,913"
06/14/2024,"321.39","322.68","315.85","321.47","4,195,333"
06/13/2024,"327.50","327.89","321.45","326.36","3,183,935"
06/12/2024,"333.15","335.17","326.00","328.73","4,817,488"
06/11/2024,"327.76","328.64","323.73","327.31","3,247,002"
06/10/2024,"328.71","331.91","328.44","329.61","2,640,555"
06/07/2024,"326.20","332.88","323.72","328.94","2,499,318"
06/06/2024,"330.22","331.03","327.09","328.29","2,452,154"
06/05/2024,"329.48","331.27","326.70","329.45","2,616,330"
06/04/2024,"328.71","330.33","324.50","327.57","3,706,638"
06/03/2024,"340.87","341.40","325.75","331.36","3,878,646"
05/31/2024,"339.34","340.89","335.06","338.52","8,319,505"
05/30/2024,"338.47","344.55","338.47","339.25","2,746,084"
05/29/2024,"345.00","345.31","337.72","338.11","3,040,026"
05/28/2024,"348.00","349.23","344.40","346.47","2,264,877"
05/24/2024,"352.64","353.91","346.68","348.90","2,635,223"
05/23/2024,"360.40","361.34","348.79","350.70","2,749,157"
05/22/2024,"358.50","359.20","352.56","355.94","2,104,298"
05/21/2024,"362.26","363.24","357.50","359.07","1,841,136"
05/20/2024,"356.40","364.43","354.77","362.75","2,247,917"
05/17/2024,"352.97","356.41","351.56","356.27","2,104,332"
05/16/2024,"356.75","358.77","349.61","350.72","2,821,686"
05/15/2024,"361.47","363.31","358.12","360.04","1,913,878"
05/14/2024,"357.72","360.61","357.03","358.18","1,563,528"
05/13/2024,"354.80","358.55","354.37","356.68","2,051,224"
05/10/2024,"355.00","357.51","353.52","354.79","2,210,787"
05/09/2024,"345.92","352.88","345.43","351.78","3,208,947"
05/08/2024,"340.00","346.27","338.74","344.50","2,260,496"
05/07/2024,"344.47","348.54","343.40","345.00","1,965,752"
05/06/2024,"340.87","342.55","339.70","342.10","1,653,860"
05/03/2024,"338.09","341.61","334.98","336.75","1,977,087"
05/02/2024,"333.52","336.16","329.25","335.44","2,492,004"
05/01/2024,"333.38","338.50","330.74","331.07","3,520,821"
04/30/2024,"347.02","347.77","333.12","334.57","4,201,677"
04/29/2024,"343.98","350.95","343.98","349.80","2,213,594"
04/26/2024,"338.44","345.50","338.33","343.38","3,324,630"
04/25/2024,"330.44","341.94","330.32","338.00","6,459,595"
04/24/2024,"363.95","368.17","358.90","363.52","3,032,711"
04/23/2024,"360.00","365.52","359.04","363.25","1,810,693"
04/22/2024,"356.10","362.00","353.24","357.61","2,085,356"
04/19/2024,"358.29","360.95","352.14","354.66","2,929,591"
04/18/2024,"361.15","363.48","356.17","357.93","2,380,716"
04/17/2024,"362.65","362.91","352.88","358.32","2,313,776"
04/16/2024,"363.02","363.46","357.18","359.88","2,514,069"
04/15/2024,"372.97","374.46","362.11","363.91","2,170,956"
04/12/2024,"368.64","372.84","362.68","365.63","2,072,870"
04/11/2024,"372.63","373.37","366.90","371.98","2,535,736"
04/10/2024,"366.20","372.62","364.39","372.07","2,148,522"
04/09/2024,"375.03","377.16","365.51","371.90","2,043,292"
04/08/2024,"379.11","382.01","372.89","373.47","2,689,993"
04/05/2024,"372.50","381.00","371.79","379.30","2,068,267"
04/04/2024,"377.37","381.03","368.88","369.79","2,492,175"
04/03/2024,"365.49","376.07","364.60","375.79","2,623,737"
04/02/2024,"362.31","364.99","361.48","364.83","1,968,867"
04/01/2024,"367.48","367.93","362.64","363.74","1,953,766"
03/28/2024,"364.62","367.22","363.53","366.43","2,028,629"
03/27/2024,"358.72","364.81","357.88","364.65","2,262,845"
03/26/2024,"356.46","359.59","356.00","356.39","1,637,312"
03/25/2024,"356.96","358.87","355.03","355.95","1,774,760"
03/22/2024,"364.60","365.52","357.86","358.11","2,051,989"
03/21/2024,"357.67","365.20","356.72","364.56","2,616,273"
03/20/2024,"351.12","358.18","348.14","356.45","2,563,949"
03/19/2024,"351.60","354.00","349.62","353.90","2,207,751"
03/18/2024,"348.08","353.34","347.86","351.90","2,528,184"
03/15/2024,"342.97","347.29","341.15","346.97","4,406,009"
03/14/2024,"344.55","346.84","338.94","341.92","2,110,175"
03/13/2024,"338.14","343.10","337.39","341.52","1,818,943"
03/12/2024,"335.28","338.39","332.74","337.24","1,646,140"
03/11/2024,"337.00","338.21","331.53","334.97","1,868,119"
03/08/2024,"342.07","344.50","338.10","339.19","2,307,423"
03/07/2024,"338.51","342.34","338.43","340.22","1,732,485"
03/06/2024,"336.25","337.73","334.16","335.63","1,542,427"
03/05/2024,"335.42","338.99","331.74","333.53","2,029,966"
03/04/2024,"335.60","340.26","334.79","338.65","1,551,197"
03/01/2024,"334.00","337.77","333.60","336.70","1,815,536"
02/29/2024,"331.00","334.89","330.10","333.96","2,699,773"
02/28/2024,"327.39","331.68","326.99","329.56","1,471,162"
02/27/2024,"326.98","327.95","323.77","327.63","1,640,875"
02/26/2024,"323.65","327.24","322.25","325.38","1,650,017"
02/23/2024,"323.00","325.08","322.05","323.88","1,575,227"
02/22/2024,"321.00","323.37","320.34","322.09","1,875,783"
02/21/2024,"312.90","317.82","312.90","317.14","1,780,222"
02/20/2024,"317.26","319.00","312.74","313.74","2,701,572"
02/16/2024,"323.72","328.30","321.44","321.91","2,513,347"
02/15/2024,"315.95","323.21","315.46","323.07","2,362,937"
02/14/2024,"316.01","317.85","313.97","316.71","1,887,095"
02/13/2024,"315.79","316.00","310.79","312.84","2,923,359"
02/12/2024,"317.21","323.09","316.51","321.63","2,483,602"
02/09/2024,"322.00","322.33","315.57","317.16","2,823,170"
02/08/2024,"324.67","326.43","321.42","322.00","1,986,100"
02/07/2024,"322.94","327.82","321.10","323.59","3,202,982"
02/06/2024,"323.19","327.43","319.07","322.72","2,826,394"
02/05/2024,"334.87","334.87","315.91","321.40","6,557,542"
02/02/2024,"307.00","317.37","306.00","315.09","4,661,484"
02/01/2024,"303.24","308.07","301.94","307.69","3,196,264"
01/31/2024,"305.57","305.75","299.93","300.31","2,812,955"
01/30/2024,"300.51","305.73","300.51","304.76","2,150,444"
01/29/2024,"299.02","303.70","297.45","303.25","2,101,353"
01/26/2024,"301.00","302.98","298.66","299.43","2,920,474"
01/25/2024,"294.00","303.31","293.13","300.77","4,647,055"
01/24/2024,"290.84","292.61","288.34","290.68","2,765,909"
01/23/2024,"290.50","292.88","287.52","288.83","1,866,294"
01/22/2024,"286.10","290.59","286.10","288.67","2,072,329"
01/19/2024,"282.32","286.08","278.95","285.28","3,115,987"
01/18/2024,"280.02","282.53","277.66","281.90","2,479,261"
01/17/2024,"278.83","282.02","276.94","278.63","3,789,153"
01/16/2024,"288.88","290.21","285.60","287.23","3,140,086"
01/12/2024,"295.27","295.83","288.93","290.41","1,955,694"
01/11/2024,"294.60","295.60","289.41","292.06","1,941,352"
01/10/2024,"292.15","294.55","291.46","293.35","2,048,021"
01/09/2024,"289.23","292.36","288.00","292.29","1,974,507"
01/08/2024,"287.56","292.68","285.24","292.25","2,369,129"
01/05/2024,"286.25","291.00","285.47","288.93","2,684,787"
01/04/2024,"284.41","288.22","283.79","286.10","2,995,437"
01/03/2024,"288.39","288.93","283.32","284.30","3,043,399"
01/02/2024,"293.43","296.64","291.35","292.71","2,433,125"
12/29/2023,"296.85","298.24","293.20","295.67","2,300,643"
12/28/2023,"297.10","299.20","296.04","296.88","2,267,452"
12/27/2023,"295.63","299.15","294.73","298.12","1,876,485"
12/26/2023,"291.59","297.09","291.00","295.63","2,019,046"
12/22/2023,"290.31","292.83","288.91","290.36","2,833,962"
12/21/2023,"289.90","290.73","286.60","290.07","3,209,389"
12/20/2023,"291.93","298.27","289.52","289.71","3,818,414"
12/19/2023,"286.80","293.03","286.16","292.96","3,659,607"
12/18/2023,"286.74","288.88","284.57","285.71","2,691,728"
12/15/2023,"280.10","286.85","279.98","285.74","7,321,193"
12/14/2023,"272.45","285.46","270.55","285.17","6,464,060"
12/13/2023,"261.40","268.23","259.28","267.97","3,708,327"
12/12/2023,"259.99","262.49","259.12","261.43","2,375,743"
12/11/2023,"259.84","262.24","259.50","260.92","2,898,544"
12/08/2023,"257.38","261.64","257.00","259.50","3,258,348"
12/07/2023,"257.21","259.38","255.81","257.41","2,162,534"
12/06/2023,"256.80","261.01","255.57","255.97","3,632,822"
12/05/2023,"253.78","257.20","253.78","255.19","2,682,372"
12/04/2023,"253.57","255.53","252.42","254.75","3,028,712"
12/01/2023,"251.91","257.44","251.01","256.76","3,731,480"
11/30/2023,"251.04","251.50","247.84","250.72","3,210,495"
11/29/2023,"249.68","251.58","248.31","249.45","2,224,796"
11/28/2023,"247.74","248.87","246.01","247.50","2,150,011"
11/27/2023,"246.96","248.22","246.32","247.39","1,743,468"
11/24/2023,"246.75","248.90","246.70","247.36","982,235"
11/22/2023,"241.84","247.63","241.81","246.01","3,594,076"
11/21/2023,"249.44","249.85","248.32","249.41","1,765,468"
11/20/2023,"252.61","252.90","248.66","250.45","2,661,794"
11/17/2023,"250.09","254.26","250.00","253.07","3,438,183"
11/16/2023,"250.50","252.92","246.60","248.21","2,625,013"
11/15/2023,"249.52","252.93","248.60","251.09","3,740,063"
11/14/2023,"246.75","249.55","244.69","247.86","3,441,793"
11/13/2023,"238.88","243.31","238.88","241.67","3,035,714"
11/10/2023,"235.34","240.15","234.62","239.68","2,525,979"
11/09/2023,"237.44","239.28","233.82","234.15","2,708,931"
11/08/2023,"236.00","237.79","234.45","234.82","2,532,451"
11/07/2023,"234.58","237.14","233.57","234.92","4,073,958"
11/06/2023,"241.51","242.92","236.36","238.28","2,891,529"
11/03/2023,"241.51","244.24","238.18","240.75","3,929,453"
11/02/2023,"235.80","239.59","232.88","239.12","7,749,892"
11/01/2023,"225.11","232.65","223.92","231.83","4,932,814"
10/31/2023,"227.65","230.54","223.76","226.05","12,093,250"
10/30/2023,"240.94","243.60","239.18","242.16","4,478,283"
10/27/2023,"243.05","243.92","237.86","238.56","3,229,943"
10/26/2023,"245.53","246.73","240.41","242.43","3,859,150"
10/25/2023,"249.87","250.77","244.50","244.94","2,542,399"
10/24/2023,"250.25","251.72","247.25","249.55","2,304,815"
10/23/2023,"247.63","251.61","246.56","247.32","3,193,201"
10/20/2023,"251.31","253.49","248.16","249.20","3,103,477"
10/19/2023,"257.91","260.00","251.76","252.89","3,849,996"
10/18/2023,"268.50","269.00","258.75","259.22","4,257,056"
10/17/2023,"268.58","275.56","268.58","272.65","2,110,205"
